epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,94345.9,0.91239,0.43063,0.88285,0.98344,0.99202,0.99099,0.67504,0.85603,0.3489,0.74006,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,95551.3,0.90537,0.42777,0.88231,0.98341,0.99136,0.99113,0.67589,0.85446,0.34833,0.74039,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,97298.7,0.88878,0.42449,0.8827,0.98361,0.99132,0.99116,0.67703,0.85178,0.34662,0.73997,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,98814,0.88461,0.42173,0.8831,0.98306,0.99108,0.9906,0.67885,0.84926,0.34598,0.73986,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,99732.9,0.86459,0.39267,0.89991,0.9831,0.99073,0.99068,0.67762,0.84795,0.34745,0.74001,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,101047,0.85054,0.3892,0.89228,0.98383,0.99008,0.99078,0.67997,0.84675,0.34457,0.73984,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,101904,0.83126,0.37853,0.8882,0.98214,0.99082,0.99077,0.68004,0.84528,0.34314,0.73962,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,103329,0.82152,0.3772,0.88839,0.98245,0.99054,0.99084,0.68087,0.84303,0.33926,0.73916,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,104179,0.80795,0.37225,0.88338,0.98274,0.99044,0.9909,0.68075,0.84194,0.33646,0.73924,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,105982,0.80334,0.37256,0.8809,0.98282,0.9898,0.99095,0.68221,0.84048,0.33481,0.73909,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,107047,0.78891,0.36664,0.87927,0.98343,0.9898,0.99103,0.68134,0.8385,0.33429,0.7389,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,108348,0.79079,0.36658,0.88046,0.98344,0.98935,0.99101,0.68218,0.83681,0.33283,0.73871,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,109320,0.77912,0.36379,0.87514,0.98316,0.98997,0.99104,0.68248,0.8356,0.33192,0.73873,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,110132,0.77009,0.36003,0.8751,0.98336,0.98991,0.99106,0.6818,0.83377,0.33054,0.73857,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
